,Year,Rank,Time,Team,Rider,Country,Time - Seconds,Time - Hours,Time - Minutes,win_flag
154,1958,17,"+ 1h 24' 57""",Centre-Midi,Henry Anglade ,FRA,57.0,1,24,0
155,1958,18,"+ 1h 25' 44""",West/South-West,Joseph Thomin ,FRA,44.0,1,25,0
156,1958,23,"+ 1h 37' 05""",Paris/North-East,Jean-Claude Annaert ,FRA,5.0,1,37,0
157,1958,26,"+ 1h 41' 17""",Centre-Midi,Marcel Rohrbach ,FRA,17.0,1,41,0
158,1958,29,"+ 1h 47' 16""",West/South-West,Jean Gainche ,FRA,16.0,1,47,0
159,1958,31,"+ 1h 53' 56""",Centre-Midi,Manuel Busto ,FRA,56.0,1,53,0
160,1959,15,"+ 1h 00' 04""",Centre-Midi,Jean Dotto ,FRA,4.0,1,0,0
161,1959,20,"+ 1h 16' 10""",France Paris/North-East,Michel Vermeulin ,FRA,10.0,1,16,0
162,1959,24,"+ 1h 33' 34""",West/South-West,Joseph Thomin ,FRA,34.0,1,33,0
163,1959,26,"+ 1h 42' 22""",West/South-West,Marcel Queheille ,FRA,22.0,1,42,0
164,1959,29,"+ 1h 44' 35""",France Paris/North-East,Raymond Hoorelbeke ,FRA,35.0,1,44,0
165,1959,34,"+ 1h 50' 45""",Centre-Midi,Jean Forestier ,FRA,45.0,1,50,0
166,1959,39,"+ 1h 59' 37""",Centre-Midi,Manuel Busto ,FRA,37.0,1,59,0
167,1960,30,"+ 1h 11' 42""",Paris/North,Michel Vermeulin ,FRA,42.0,1,11,0
168,1960,31,"+ 1h 12' 02""",Centre-Midi,Pierre Beuffeuil ,FRA,2.0,1,12,0
169,1960,36,"+ 1h 30' 31""",West,Jean Gainche ,FRA,31.0,1,30,0
170,1960,38,"+ 1h 33' 34""",Paris/North,Joseph Wasko ,FRA,34.0,1,33,0
171,1960,40,"+ 1h 46' 58""",West,Félix Lebuhotel ,FRA,58.0,1,46,0
172,1960,44,"+ 1h 53' 37""",Paris/North,Bernard Viot ,FRA,37.0,1,53,0
173,1960,46,"+ 1h 55' 56""",West,Fernand Picot ,FRA,56.0,1,55,0
