,Year,Rank,Time,Team,Rider,Country,Time - Seconds,Time - Hours,Time - Minutes,win_flag
3609,2012,151,"+ 3h 54' 45""",Garmin–Sharp,Tyler Farrar ,USA,45.0,3,54,0
3610,2013,108,"+ 3h 07' 12""",Lotto–Belisol,Lars Bak ,DEN,12.0,3,7,0
3611,2013,110,"+ 3h 09' 47""",Team Katusha,Pavel Brutt ,RUS,47.0,3,9,0
3612,2013,113,"+ 3h 14' 25""",Garmin–Sharp,David Millar ,GBR,25.0,3,14,0
3613,2013,114,"+ 3h 15' 15""",Cannondale,Maciej Bodnar ,POL,15.0,3,15,0
3614,2013,119,"+ 3h 21' 06""",Team Katusha,Gatis Smukulis ,LAT,6.0,3,21,0
3615,2013,120,"+ 3h 21' 29""",Garmin–Sharp,Ramūnas Navardauskas ,LTU,29.0,3,21,0
3616,2013,123,"+ 3h 24' 16""",Team Europcar,David Veilleux ,CAN,16.0,3,24,0
3617,2013,130,"+ 3h 32' 14""",Orica–GreenEDGE,Cameron Meyer ,AUS,14.0,3,32,0
3618,2013,133,"+ 3h 37' 48""",FDJ.fr,Murilo Fischer ,BRA,48.0,3,37,0
3619,2013,135,"+ 3h 38' 49""",Team Sky,Ian Stannard ,GBR,49.0,3,38,0
3620,2013,136,"+ 3h 38' 58""",Saxo–Tinkoff,Sérgio Paulinho ,POR,58.0,3,38,0
3621,2013,140,"+ 3h 43' 34""",Team Sky,Geraint Thomas ,GBR,34.0,3,43,0
3622,2013,141,"+ 3h 45' 02""",Team Katusha,Aleksandr Kuschynski ,BLR,2.0,3,45,0
3623,2013,147,"+ 3h 49' 50""",Team Katusha,Alexander Kristoff ,NOR,50.0,3,49,0
3624,2013,148,"+ 3h 52' 04""",Omega Pharma–Quick-Step,Mark Cavendish ,GBR,4.0,3,52,0
3625,2013,152,"+ 3h 57' 24""",Orica–GreenEDGE,Matthew Goss ,AUS,24.0,3,57,0
3626,2014,70,"+ 3h 05' 51""",Orica–GreenEDGE,Michael Albasini ,SUI,51.0,3,5,0
3627,2014,71,"+ 3h 07' 18""",NetApp–Endura,Jan Bárta ,CZE,18.0,3,7,0
3628,2014,72,"+ 3h 08' 03""",NetApp–Endura,Tiago Machado ,POR,3.0,3,8,0
3629,2014,75,"+ 3h 12' 10""",IAM Cycling,Martin Elmiger ,SUI,10.0,3,12,0
3630,2014,82,"+ 3h 23' 41""",Lotto–Belisol,Lars Bak ,DEN,41.0,3,23,0
3631,2014,85,"+ 3h 27' 52""",IAM Cycling,Sébastien Reichenbach ,SUI,52.0,3,27,0
3632,2014,86,"+ 3h 30' 23""",Team Sky,Vasil Kiryienka ,BLR,23.0,3,30,0
3633,2014,87,"+ 3h 30' 36""",Lampre–Merida,Nelson Oliveira ,POR,36.0,3,30,0
3634,2014,88,"+ 3h 35' 01""",Cofidis,Rein Taaramäe ,EST,1.0,3,35,0
3635,2014,89,"+ 3h 36' 33""",Tinkoff–Saxo,Sérgio Paulinho ,POR,33.0,3,36,0
3636,2014,95,"+ 3h 39' 28""",Astana,Andriy Hrivko ,UKR,28.0,3,39,0
3637,2014,98,"+ 3h 41' 58""",Trek Factory Racing,Matthew Busche ,USA,58.0,3,41,0
3638,2014,100,"+ 3h 43' 25""",Team Katusha,Gatis Smukulis ,LAT,25.0,3,43,0
3639,2014,101,"+ 3h 43' 37""",Trek Factory Racing,Grégory Rast ,SUI,37.0,3,43,0
3640,2014,112,"+ 3h 52' 52""",Cannondale,Maciej Bodnar ,POL,52.0,3,52,0
3641,2014,113,"+ 3h 55' 38""",Orica–GreenEDGE,Simon Clarke ,AUS,38.0,3,55,0
3642,2015,76,"+ 3h 02' 14""",Lampre–Merida,Kristijan Đurasek ,CRO,14.0,3,2,0
3643,2015,82,"+ 3h 08' 02""",MTN–Qhubeka,Edvald Boasson Hagen ,NOR,2.0,3,8,0
3644,2015,84,"+ 3h 10' 36""",MTN–Qhubeka,Merhawi Kudus ,ERI,36.0,3,10,0
3645,2015,86,"+ 3h 12' 23""",MTN–Qhubeka,Steve Cummings ,GBR,23.0,3,12,0
3646,2015,87,"+ 3h 14' 14""",Team Giant–Alpecin,Georg Preidler ,AUT,14.0,3,14,0
3647,2015,89,"+ 3h 16' 04""",Orica–GreenEDGE,Simon Yates ,GBR,4.0,3,16,0
3648,2015,95,"+ 3h 21' 17""",Etixx–Quick-Step,Michał Gołaś ,POL,17.0,3,21,0
3649,2015,96,"+ 3h 21' 30""",MTN–Qhubeka,Reinardt Janse van Rensburg ,RSA,30.0,3,21,0
3650,2015,100,"+ 3h 26' 47""",IAM Cycling,Martin Elmiger ,SWI,47.0,3,26,0
3651,2015,101,"+ 3h 27' 34""",BMC Racing Team,Rohan Dennis ,AUS,34.0,3,27,0
3652,2015,102,"+ 3h 29' 00""",Trek Factory Racing,Grégory Rast ,SWI,0.0,3,29,0
3653,2015,103,"+ 3h 30' 13""",Etixx–Quick-Step,Zdeněk Štybar ,CZE,13.0,3,30,0
3654,2015,108,"+ 3h 38' 06""",Bora–Argon 18,Bartosz Huzarski ,POL,6.0,3,38,0
3655,2015,114,"+ 3h 45' 18""",Lotto–Soudal,Adam Hansen ,AUS,18.0,3,45,0
3656,2015,122,"+ 3h 54' 25""",Lampre–Merida,José Serpa ,COL,25.0,3,54,0
3657,2015,124,"+ 3h 56' 49""",Trek Factory Racing,Julián Arredondo ,COL,49.0,3,56,0
3658,2015,126,"+ 3h 59' 04""",Team Katusha,Marco Haller ,AUT,4.0,3,59,0
3659,2015,128,"+ 3h 59' 37""",Team Sky,Ian Stannard ,GBR,37.0,3,59,0
3660,2016,76,"+ 3h 00' 54""",BMC Racing Team,Michael Schär ,SUI,54.0,3,0,0
3661,2016,77,"+ 3h 01' 22""",Tinkoff,Michael Valgren ,DEN,22.0,3,1,0
3662,2016,80,"+ 3h 04' 53""",Movistar Team,Nelson Oliveira ,POR,53.0,3,4,0
3663,2016,84,"+ 3h 12' 52""",Fortuneo–Vital Concept,Chris Anker Sørensen ,DEN,52.0,3,12,0
3664,2016,85,"+ 3h 14' 07""",Team Dimension Data,Daniel Teklehaimanot ,ERI,7.0,3,14,0
3665,2016,86,"+ 3h 14' 31""",Astana,Andriy Hrivko ,UKR,31.0,3,14,0
3666,2016,88,"+ 3h 19' 44""",Bora–Argon 18,Jan Bárta ,CZE,44.0,3,19,0
3667,2016,92,"+ 3h 23' 17""",Lampre–Merida,Tsgabu Grmay ,ETH,17.0,3,23,0
3668,2016,95,"+ 3h 27' 09""",Tinkoff,Peter Sagan ,SVK,9.0,3,27,0
3669,2016,97,"+ 3h 28' 33""",IAM Cycling,Reto Hollenstein ,SUI,33.0,3,28,0
3670,2016,100,"+ 3h 34' 26""",Lotto–Soudal,Adam Hansen ,AUS,26.0,3,34,0
3671,2016,102,"+ 3h 38' 17""",Lampre–Merida,Luka Pibernik ,SLO,17.0,3,38,0
3672,2016,103,"+ 3h 38' 41""",Team Sky,Vasil Kiryienka ,BLR,41.0,3,38,0
3673,2016,107,"+ 3h 44' 54""",Direct Énergie,Antoine Duchesne ,CAN,54.0,3,44,0
3674,2016,109,"+ 3h 47' 29""",Team Dimension Data,Edvald Boasson Hagen ,NOR,29.0,3,47,0
3675,2016,110,"+ 3h 47' 40""",Orica–BikeExchange,Michael Matthews ,AUS,40.0,3,47,0
3676,2016,112,"+ 3h 51' 55""",Orica–BikeExchange,Luke Durbridge ,AUS,55.0,3,51,0
3677,2016,115,"+ 3h 56' 30""",Team Dimension Data,Reinardt Janse van Rensburg ,RSA,30.0,3,56,0
3678,2016,116,"+ 3h 57' 06""",Lampre–Merida,Yukiya Arashiro ,JPN,6.0,3,57,0
3679,2016,117,"+ 3h 57' 49""",BMC Racing Team,Brent Bookwalter ,USA,49.0,3,57,0
3680,2016,118,"+ 3h 57' 58""",Etixx–Quick-Step,Petr Vakoč ,CZE,58.0,3,57,0
3681,2016,119,"+ 3h 58' 10""",Orica–BikeExchange,Christopher Juul-Jensen ,DEN,10.0,3,58,0
3682,2017,93,"+ 3h 04' 11""",Astana,Bakhtiyar Kozhatayev ,KAZ,11.0,3,4,0
3683,2017,94,"+ 3h 05' 13""",Bora–Hansgrohe,Jay McCarthy ,AUS,13.0,3,5,0
3684,2017,98,"+ 3h 06' 55""",Orica–Scott,Michael Albasini ,SUI,55.0,3,6,0
3685,2017,102,"+ 3h 12' 12""",Quick-Step Floors,Zdeněk Štybar ,CZE,12.0,3,12,0
3686,2017,105,"+ 3h 15' 13""",Quick-Step Floors,Jack Bauer ,NZL,13.0,3,15,0
3687,2017,107,"+ 3h 16' 28""",Team Dimension Data,Scott Thwaites ,GBR,28.0,3,16,0
3688,2017,109,"+ 3h 18' 16""",Bahrain–Merida,Yukiya Arashiro ,JPN,16.0,3,18,0
3689,2017,112,"+ 3h 21' 15""",Team Sky,Vasil Kiryienka ,BLR,15.0,3,21,0
3690,2017,113,"+ 3h 22' 31""",Lotto–Soudal,Adam Hansen ,AUS,31.0,3,22,0
3691,2017,114,"+ 3h 23' 00""",Cannondale–Drapac,Patrick Bevin ,NZL,0.0,3,23,0
3692,2017,115,"+ 3h 24' 42""",Astana,Dmitriy Gruzdev ,KAZ,42.0,3,24,0
3693,2017,116,"+ 3h 26' 58""",Bora–Hansgrohe,Maciej Bodnar ,POL,58.0,3,26,0
3694,2017,118,"+ 3h 30' 54""",Team Dimension Data,Reinardt Janse van Rensburg ,RSA,54.0,3,30,0
3695,2017,120,"+ 3h 32' 14""",Astana,Andriy Hrivko ,UKR,14.0,3,32,0
3696,2017,123,"+ 3h 37' 04""",Lotto–Soudal,Lars Bak ,DEN,4.0,3,37,0
3697,2017,124,"+ 3h 39' 24""",Wanty–Groupe Gobert,Dion Smith ,NZL,24.0,3,39,0
3698,2017,127,"+ 3h 41' 52""",UAE Team Emirates,Vegard Stake Laengen ,NOR,52.0,3,41,0
3699,2017,130,"+ 3h 45' 40""",Team Katusha–Alpecin,Alexander Kristoff ,NOR,40.0,3,45,0
3700,2017,141,"+ 3h 53' 10""",Team Dimension Data,Steve Cummings ,GBR,10.0,3,53,0
3701,2017,143,"+ 3h 55' 29""",Bahrain–Merida,Grega Bole ,SLO,29.0,3,55,0
3702,2017,146,"+ 3h 59' 06""",Trek–Segafredo,Michael Gogl ,AUT,6.0,3,59,0
3703,2018,90,"+ 3h 04' 14""",BMC Racing Team,Michael Schär ,SUI,14.0,3,4,0
3704,2018,94,"+ 3h 07' 14""",Bora–Hansgrohe,Paweł Poljański ,POL,14.0,3,7,0
3705,2018,97,"+ 3h 12' 24""",Wanty–Groupe Gobert,Dion Smith ,NZL,24.0,3,12,0
3706,2018,100,"+ 3h 15' 40""",EF Education First–Drapac p/b Cannondale,Simon Clarke ,AUS,40.0,3,15,0
3707,2018,102,"+ 3h 16' 54""",Bahrain–Merida,Kristijan Koren ,SLO,54.0,3,16,0
3708,2018,103,"+ 3h 19' 10""",Lotto–Soudal,Tomasz Marczyński ,POL,10.0,3,19,0
3709,2018,106,"+ 3h 21' 22""",UAE Team Emirates,Rory Sutherland ,AUS,22.0,3,21,0
3710,2018,107,"+ 3h 21' 37""",BMC Racing Team,Simon Gerrans ,AUS,37.0,3,21,0
3711,2018,108,"+ 3h 21' 55""",Mitchelton–Scott,Mathew Hayman ,AUS,55.0,3,21,0
3712,2018,110,"+ 3h 24' 25""",Team Dimension Data,Reinardt Janse van Rensburg ,RSA,25.0,3,24,0
3713,2018,113,"+ 3h 32' 54""",Trek–Segafredo,Michael Gogl ,AUT,54.0,3,32,0
3714,2018,114,"+ 3h 33' 33""",UAE Team Emirates,Alexander Kristoff ,NOR,33.0,3,33,0
3715,2018,117,"+ 3h 36' 30""",Mitchelton–Scott,Michael Hepburn ,AUS,30.0,3,36,0
3716,2018,118,"+ 3h 37' 21""",Mitchelton–Scott,Luke Durbridge ,AUS,21.0,3,37,0
3717,2018,121,"+ 3h 39' 02""",Mitchelton–Scott,Jack Bauer ,NZL,2.0,3,39,0
3718,2018,122,"+ 3h 39' 20""",Bora–Hansgrohe,Maciej Bodnar ,POL,20.0,3,39,0
3719,2018,125,"+ 3h 42' 24""",Bahrain–Merida,Heinrich Haussler ,AUS,24.0,3,42,0
3720,2018,128,"+ 3h 50' 55""",Team Sky,Luke Rowe ,GBR,55.0,3,50,0
3721,2018,129,"+ 3h 50' 59""",EF Education First–Drapac p/b Cannondale,Tom Scully ,NZL,59.0,3,50,0
3722,2018,132,"+ 3h 56' 53""",Bora–Hansgrohe,Lukas Pöstlberger ,AUT,53.0,3,56,0
3723,2018,135,"+ 3h 58' 58""",Quick-Step Floors,Maximiliano Richeze ,ARG,58.0,3,58,0
3724,2018,136,"+ 3h 59' 07""",EF Education First–Drapac p/b Cannondale,Taylor Phinney ,USA,7.0,3,59,0
3725,2019,93,"+ 3h 00' 37""",Bahrain–Merida,Jan Tratnik ,SLO,37.0,3,0,0
3726,2019,96,"+ 3h 02' 38""",Groupama–FDJ,Stefan Küng ,SUI,38.0,3,2,0
3727,2019,104,"+ 3h 12' 22""",Astana,Magnus Cort ,DEN,22.0,3,12,0
3728,2019,107,"+ 3h 15' 25""",UAE Team Emirates,Vegard Stake Laengen ,NOR,25.0,3,15,0
3729,2019,109,"+ 3h 18' 36""",Mitchelton–Scott,Luke Durbridge ,AUS,36.0,3,18,0
3730,2019,110,"+ 3h 19' 40""",UAE Team Emirates,Sven Erik Bystrøm ,NOR,40.0,3,19,0
3731,2019,111,"+ 3h 19' 58""",Wanty–Gobert,Odd Christian Eiking ,NOR,58.0,3,19,0
3732,2019,112,"+ 3h 22' 22""",Mitchelton–Scott,Christopher Juul-Jensen ,DEN,22.0,3,22,0
3733,2019,117,"+ 3h 29' 22""",Team Katusha–Alpecin,Mads Würtz Schmidt ,DEN,22.0,3,29,0
3734,2019,119,"+ 3h 33' 43""",Bahrain–Merida,Matej Mohorič ,SLO,43.0,3,33,0
3735,2019,122,"+ 3h 38' 18""",Deceuninck–Quick-Step,Kasper Asgreen ,DEN,18.0,3,38,0
3736,2019,124,"+ 3h 44' 10""",Team Dimension Data,Reinardt Janse van Rensburg ,RSA,10.0,3,44,0
3737,2019,127,"+ 3h 46' 34""",CCC Team,Łukasz Wiśniowski ,POL,34.0,3,46,0
3738,2019,128,"+ 3h 47' 15""",Team Katusha–Alpecin,José Gonçalves ,POR,15.0,3,47,0
3739,2019,129,"+ 3h 49' 45""",Team Dimension Data,Steve Cummings ,GBR,45.0,3,49,0
3740,2019,132,"+ 3h 54' 34""",Lotto–Soudal,Caleb Ewan ,AUS,34.0,3,54,0
3741,2019,134,"+ 3h 54' 51""",Team Sunweb,Chad Haga ,USA,51.0,3,54,0
3742,2019,135,"+ 3h 56' 52""",EF Education First,Tom Scully ,NZL,52.0,3,56,0
3743,2020,55,"+ 3h 01' 41""",Movistar Team,Nelson Oliveira ,POR,41.0,3,1,0
3744,2020,56,"+ 3h 03' 09""",EF Pro Cycling,Neilson Powless ,USA,9.0,3,3,0
3745,2020,58,"+ 3h 06' 26""",Team Sunweb,Søren Kragh Andersen ,DEN,26.0,3,6,0
3746,2020,63,"+ 3h 25' 17""",Bora–Hansgrohe,Felix Großschartner ,AUT,17.0,3,25,0
3747,2020,64,"+ 3h 27' 13""",Team Sunweb,Nicolas Roche ,IRL,13.0,3,27,0
3748,2020,66,"+ 3h 32' 40""",Arkéa–Samsic,Winner Anacona ,COL,40.0,3,32,0
3749,2020,67,"+ 3h 34' 58""",CCC Team,Jan Hirt ,CZE,58.0,3,34,0
3750,2020,69,"+ 3h 38' 55""",CCC Team,Michael Schär ,SUI,55.0,3,38,0
3751,2020,73,"+ 3h 41' 45""",NTT Pro Cycling,Michael Valgren ,DEN,45.0,3,41,0
3752,2020,76,"+ 3h 49' 02""",Bahrain–McLaren,Matej Mohorič ,SLO,2.0,3,49,0
3753,2020,77,"+ 3h 49' 04""",Ineos Grenadiers,Andrey Amador ,CRC,4.0,3,49,0
3754,2020,81,"+ 3h 53' 09""",Trek–Segafredo,Toms Skujiņš ,LAT,9.0,3,53,0
3755,2020,82,"+ 3h 53' 17""",UAE Team Emirates,Vegard Stake Laengen ,NOR,17.0,3,53,0
3756,2021,79,"+ 3h 03' 30""",Team BikeExchange,Michael Matthews ,AUS,30.0,3,3,0
3757,2021,85,"+ 3h 10' 52""",Lotto–Soudal,Harry Sweeny ,AUS,52.0,3,10,0
3758,2021,89,"+ 3h 13' 48""",Arkéa–Samsic,Connor Swift ,GBR,48.0,3,13,0
3759,2021,96,"+ 3h 24' 19""",Team Bahrain Victorious,Fred Wright ,GBR,19.0,3,24,0
3760,2021,98,"+ 3h 24' 38""",UAE Team Emirates,Marc Hirschi ,SUI,38.0,3,24,0
3761,2021,100,"+ 3h 28' 05""",Team BikeExchange,Luke Durbridge ,AUS,5.0,3,28,0
3762,2021,102,"+ 3h 30' 17""",Team BikeExchange,Luka Mezgec ,SLO,17.0,3,30,0
3763,2021,103,"+ 3h 31' 35""",EF Education–Nippo,Stefan Bissegger ,SUI,35.0,3,31,0
3764,2021,105,"+ 3h 33' 42""",Israel Start-Up Nation,Guillaume Boivin ,CAN,42.0,3,33,0
3765,2021,110,"+ 3h 42' 21""",UAE Team Emirates,Mikkel Bjerg ,DEN,21.0,3,42,0
3766,2021,111,"+ 3h 42' 52""",Team DSM,Casper Pedersen ,DEN,52.0,3,42,0
3767,2021,112,"+ 3h 43' 33""",UAE Team Emirates,Vegard Stake Laengen ,NOR,33.0,3,43,0
3768,2021,113,"+ 3h 44' 49""",Astana–Premier Tech,Dmitriy Gruzdev ,KAZ,49.0,3,44,0
3769,2021,114,"+ 3h 45' 07""",Team BikeExchange,Christopher Juul-Jensen ,DEN,7.0,3,45,0
3770,2021,116,"+ 3h 47' 12""",Bora–Hansgrohe,Lukas Pöstlberger ,AUT,12.0,3,47,0
3771,2021,118,"+ 3h 51' 06""",Alpecin–Fenix,Petr Vakoč ,CZE,6.0,3,51,0
3772,2021,122,"+ 3h 55' 26""",Israel Start-Up Nation,Omer Goldstein ,ISR,26.0,3,55,0
3773,2021,123,"+ 3h 56' 08""",Team Qhubeka NextHash,Simon Clarke ,AUS,8.0,3,56,0
3774,2022,54,"+ 3h 04' 08""",Team Bahrain Victorious,Fred Wright ,GBR,8.0,3,4,0
3775,2022,57,"+ 3h 12' 58""",Team TotalEnergies,Edvald Boasson Hagen ,NOR,58.0,3,12,0
3776,2022,59,"+ 3h 17' 17""",Alpecin–Deceuninck,Silvan Dillier ,SUI,17.0,3,17,0
3777,2022,60,"+ 3h 17' 28""",Trek–Segafredo,Toms Skujiņš ,LAT,28.0,3,17,0
3778,2022,61,"+ 3h 18' 18""",Groupama–FDJ,Antoine Duchesne ,CAN,18.0,3,18,0
3779,2022,63,"+ 3h 28' 03""",Team DSM,Martijn Tusveld ,NLD,3.0,3,28,0
3780,2022,66,"+ 3h 30' 44""",Trek–Segafredo,Quinn Simmons ,USA,44.0,3,30,0
3781,2022,69,"+ 3h 35' 05""",Arkéa–Samsic,Connor Swift ,GBR,5.0,3,35,0
3782,2022,71,"+ 3h 37' 31""",Team Bahrain Victorious,Jan Tratnik ,SLO,31.0,3,37,0
3783,2022,72,"+ 3h 37' 37""",Lotto–Soudal,Andreas Kron ,DEN,37.0,3,37,0
3784,2022,76,"+ 3h 44' 22""",Israel–Premier Tech,Guy Niv ,ISR,22.0,3,44,0
3785,2022,77,"+ 3h 45' 59""",Team BikeExchange–Jayco,Michael Matthews ,AUS,59.0,3,45,0
3786,2022,78,"+ 3h 46' 16""",Israel–Premier Tech,Krists Neilands ,LAT,16.0,3,46,0
3787,2022,82,"+ 3h 51' 46""",EF Education–EasyPost,Stefan Bissegger ,SUI,46.0,3,51,0
3788,2022,85,"+ 3h 52' 57""",Team Bahrain Victorious,Matej Mohorič ,SLO,57.0,3,52,0
3789,2022,86,"+ 3h 53' 05""",Bora–Hansgrohe,Marco Haller ,AUT,5.0,3,53,0
3790,2022,89,"+ 3h 58' 19""",EF Education–EasyPost,Owain Doull ,GBR,19.0,3,58,0
3791,2022,92,"+ 3h 59' 19""",Intermarché–Wanty–Gobert Matériaux,Sven Erik Bystrøm ,NOR,19.0,3,59,0
3792,1930,22,"+ 3h 10' 37""",Germany,Felix Manthey ,GER,37.0,3,10,0
3793,1932,39,"+ 3h 15' 13""",Germany/Austria,Herbert Sieronski ,GER,13.0,3,15,0
3794,1934,22,"+ 3h 01' 13""",Germany,Kurt Stoepel ,GER,13.0,3,1,0
3795,1935,23,"+ 3h 51' 06""",German individual,Bruno Roth ,GER,6.0,3,51,0
3796,1937,37,"+ 3h 28' 04""",Germany,Heinz Wengler ,GER,4.0,3,28,0
3797,1938,45,"+ 3h 15' 14""",Germany,Josef Arents ,GER,14.0,3,15,0
3798,1938,52,"+ 3h 50' 46""",Germany,Herbert Hauswald ,GER,46.0,3,50,0
3799,1938,53,"+ 3h 52' 57""",Germany,Reinhold Wendel ,GER,57.0,3,52,0
3800,1991,156,"+ 3h 05' 33""",TVM–Sanyo,Thomas Barth ,GER,33.0,3,5,0
3801,1992,128,"+ 3h 47' 45""",Team Telekom,Andreas Kappes ,GER,45.0,3,47,0
3802,1997,84,"+ 3h 10' 01""",Team Telekom,Christian Henn ,GER,1.0,3,10,0
3803,1999,136,"+ 3h 05' 41""",Team Telekom,Jan Schaffrath ,GER,41.0,3,5,0
3804,2003,107,"+ 3h 11' 39""",Team Telekom,Erik Zabel ,GER,39.0,3,11,0
3805,2003,136,"+ 3h 56' 49""",Team Bianchi,Thomas Liese ,GER,49.0,3,56,0
3806,2004,125,"+ 3h 01' 36""",Gerolsteiner,Uwe Peschel ,GER,36.0,3,1,0
3807,2005,130,"+ 3h 37' 13""",Gerolsteiner,Michael Rich ,GER,13.0,3,37,0
3808,2006,99,"+ 3h 03' 24""",Team Milram,Ralf Grabsch ,GER,24.0,3,3,0
3809,2006,101,"+ 3h 05' 01""",Team Milram,Christian Knees ,GER,1.0,3,5,0
3810,2006,104,"+ 3h 07' 26""",Phonak,Bert Grabsch ,GER,26.0,3,7,0
3811,2007,105,"+ 3h 19' 58""",T-Mobile Team,Bert Grabsch ,GER,58.0,3,19,0
3812,2007,116,"+ 3h 24' 35""",Team Milram,Ralf Grabsch ,GER,35.0,3,24,0
3813,2007,120,"+ 3h 26' 48""",Team Milram,Marcel Sieberg ,GER,48.0,3,26,0
3814,2007,127,"+ 3h 29' 37""",T-Mobile Team,Marcus Burghardt ,GER,37.0,3,29,0
3815,2007,129,"+ 3h 32' 30""",Gerolsteiner,Heinrich Haussler ,GER,30.0,3,32,0
3816,2007,131,"+ 3h 35' 28""",Team Milram,Enrico Poitschke ,GER,28.0,3,35,0
3817,2007,135,"+ 3h 40' 10""",Gerolsteiner,Robert Förster ,GER,10.0,3,40,0
3818,2007,137,"+ 3h 40' 51""",Gerolsteiner,Sven Krauß ,GER,51.0,3,40,0
3819,2008,115,"+ 3h 16' 11""",Gerolsteiner,Robert Förster ,GER,11.0,3,16,0
3820,2008,119,"+ 3h 20' 28""",Team Columbia,Marcus Burghardt ,GER,28.0,3,20,0
3821,2008,122,"+ 3h 23' 17""",Team Milram,Ralf Grabsch ,GER,17.0,3,23,0
3822,2008,125,"+ 3h 25' 34""",Gerolsteiner,Heinrich Haussler ,GER,34.0,3,25,0
3823,2008,142,"+ 3h 51' 55""",Gerolsteiner,Sven Krauss ,GER,55.0,3,51,0
3824,2009,122,"+ 3h 12' 45""",Team Milram,Markus Fothen ,GER,45.0,3,12,0
3825,2009,123,"+ 3h 15' 12""",Team Milram,Gerald Ciolek ,GER,12.0,3,15,0
3826,2009,131,"+ 3h 27' 06""",Team Columbia–HTC,Bert Grabsch ,GER,6.0,3,27,0
3827,2009,134,"+ 3h 29' 54""",Team Milram,Fabian Wegmann ,GER,54.0,3,29,0
3828,2010,115,"+ 3h 17' 14""",Team Milram,Fabian Wegmann ,GER,14.0,3,17,0
3829,2010,122,"+ 3h 22' 52""",Team Saxo Bank,Jens Voigt ,GER,52.0,3,22,0
3830,2010,129,"+ 3h 26' 57""",Team Milram,Gerald Ciolek ,GER,57.0,3,26,0
3831,2010,131,"+ 3h 28' 33""",Lampre–Farnese,Danilo Hondo ,GER,33.0,3,28,0
3832,2010,133,"+ 3h 30' 31""",Team HTC–Columbia,Tony Martin ,GER,31.0,3,30,0
3833,2011,109,"+ 3h 00' 00""",Lampre–ISD,Danilo Hondo ,GER,0.0,3,0,0
3834,2011,113,"+ 3h 01' 51""",Omega Pharma–Lotto,Sebastian Lang ,GER,51.0,3,1,0
3835,2011,141,"+ 3h 21' 39""",Omega Pharma–Lotto,Marcel Sieberg ,GER,39.0,3,21,0
3836,2011,150,"+ 3h 30' 22""",Quick-Step,Gerald Ciolek ,GER,22.0,3,30,0
3837,2011,156,"+ 3h 35' 04""",Omega Pharma–Lotto,André Greipel ,GER,4.0,3,35,0
3838,2011,164,"+ 3h 44' 08""",BMC Racing Team,Marcus Burghardt ,GER,8.0,3,44,0
3839,2012,123,"+ 3h 09' 02""",Lotto–Belisol,André Greipel ,GER,2.0,3,9,0
3840,2012,125,"+ 3h 13' 06""",Omega Pharma–Quick-Step,Bert Grabsch ,GER,6.0,3,13,0
3841,2012,132,"+ 3h 19' 36""",Lotto–Belisol,Marcel Sieberg ,GER,36.0,3,19,0
3842,2012,141,"+ 3h 28' 36""",Argos–Shimano,Patrick Gretsch ,GER,36.0,3,28,0
3843,2013,106,"+ 3h 05' 25""",Omega Pharma–Quick-Step,Tony Martin ,GER,25.0,3,5,0
3844,2013,121,"+ 3h 23' 23""",Argos–Shimano,John Degenkolb ,GER,23.0,3,23,0
3845,2013,129,"+ 3h 32' 07""",Lotto–Belisol,André Greipel ,GER,7.0,3,32,0
3846,2013,146,"+ 3h 49' 02""",Argos–Shimano,Johannes Fröhlinger ,GER,2.0,3,49,0
3847,2014,108,"+ 3h 46' 37""",Trek Factory Racing,Jens Voigt ,GER,37.0,3,46,0
3848,2015,80,"+ 3h 04' 52""",LottoNL–Jumbo,Paul Martens ,GER,52.0,3,4,0
3849,2015,83,"+ 3h 08' 47""",Bora–Argon 18,Emanuel Buchmann ,GER,47.0,3,8,0
3850,2015,99,"+ 3h 24' 53""",Bora–Argon 18,Paul Voss ,GER,53.0,3,24,0
3851,2015,109,"+ 3h 39' 43""",Team Giant–Alpecin,John Degenkolb ,GER,43.0,3,39,0
3852,2016,89,"+ 3h 20' 22""",BMC Racing Team,Marcus Burghardt ,GER,22.0,3,20,0
3853,2016,98,"+ 3h 33' 29""",LottoNL–Jumbo,Paul Martens ,GER,29.0,3,33,0
3854,2016,101,"+ 3h 36' 25""",Bora–Argon 18,Paul Voss ,GER,25.0,3,36,0
3855,2017,95,"+ 3h 05' 52""",Team Katusha–Alpecin,Nils Politt ,GER,52.0,3,5,0
3856,2017,101,"+ 3h 10' 18""",Team Katusha–Alpecin,Tony Martin ,GER,18.0,3,10,0
3857,2017,108,"+ 3h 17' 53""",Movistar Team,Jasha Sütterlin ,GER,53.0,3,17,0
3858,2017,121,"+ 3h 35' 14""",Trek–Segafredo,John Degenkolb ,GER,14.0,3,35,0
3859,2017,131,"+ 3h 45' 57""",Bora–Hansgrohe,Marcus Burghardt ,GER,57.0,3,45,0
3860,2017,144,"+ 3h 55' 31""",Team Sky,Christian Knees ,GER,31.0,3,55,0
3861,2017,145,"+ 3h 55' 48""",Team Katusha–Alpecin,Rick Zabel ,GER,48.0,3,55,0
3862,2018,87,"+ 3h 00' 54""",Team Katusha–Alpecin,Nils Politt ,GER,54.0,3,0,0
3863,2018,92,"+ 3h 04' 48""",Bora–Hansgrohe,Marcus Burghardt ,GER,48.0,3,4,0
3864,2018,111,"+ 3h 26' 35""",Trek–Segafredo,John Degenkolb ,GER,35.0,3,26,0
